date_time,true_positives,false_positives,true_negatives,false_negatives,precision,recall,f1,defined,duration
2025-05-14-13:29:52,223019,951,260235,38,0.9958,0.9998,0.9978,484243,22.835
2025-05-14-13:30:15,212671,958,250833,92,0.9955,0.9996,0.9975,464554,22.811
2025-05-14-13:30:38,213129,957,249741,61,0.9955,0.9997,0.9976,463888,22.62
2025-05-14-13:31:01,215899,892,240074,62,0.9959,0.9997,0.9978,456927,22.892
2025-05-14-13:31:24,218181,1170,277646,102,0.9947,0.9995,0.9971,497099,22.725
2025-05-14-13:31:46,215022,929,257156,38,0.9957,0.9998,0.9978,473145,22.624
2025-05-14-13:32:10,223760,812,269476,43,0.9964,0.9998,0.9981,494091,22.95
2025-05-14-13:32:33,225709,955,270895,40,0.9958,0.9998,0.9978,497599,22.896
2025-05-14-13:32:56,216510,972,253768,74,0.9955,0.9997,0.9976,471324,22.794
2025-05-14-13:33:19,206382,932,238754,54,0.9955,0.9997,0.9976,446122,22.633
2025-05-14-13:33:42,223273,1051,266321,49,0.9953,0.9998,0.9975,490694,22.931
2025-05-14-13:34:05,214481,680,246389,59,0.9968,0.9997,0.9983,461609,22.76
2025-05-14-13:34:28,211787,1018,247049,61,0.9952,0.9997,0.9975,459915,22.623
2025-05-14-13:34:51,193300,1107,233249,85,0.9943,0.9996,0.9969,427741,22.768
2025-05-14-13:35:14,218922,792,244991,54,0.9964,0.9998,0.9981,464759,22.654
2025-05-14-13:35:37,218938,744,267890,83,0.9966,0.9996,0.9981,487655,22.797
2025-05-14-13:36:00,201453,999,250111,46,0.9951,0.9998,0.9974,452609,22.781
2025-05-14-13:36:22,225598,761,255755,54,0.9966,0.9998,0.9982,482168,22.579
2025-05-14-13:36:46,207225,858,257003,52,0.9959,0.9997,0.9978,465138,23.898
2025-05-14-13:37:10,209690,741,262922,60,0.9965,0.9997,0.9981,473413,23.072
2025-05-14-13:37:33,211251,732,256336,61,0.9965,0.9997,0.9981,468380,22.967
2025-05-14-13:37:57,218598,810,266105,37,0.9963,0.9998,0.9981,485550,23.259
2025-05-14-13:38:20,214045,794,241241,68,0.9963,0.9997,0.998,456148,23.069
2025-05-14-13:38:44,218689,763,272623,47,0.9965,0.9998,0.9982,492122,23.165
2025-05-14-13:39:08,205686,718,250270,48,0.9965,0.9998,0.9981,456722,23.194
2025-05-14-13:39:32,224465,627,292551,32,0.9972,0.9999,0.9985,517675,22.846
2025-05-14-13:39:55,212372,707,234894,46,0.9967,0.9998,0.9982,448019,22.757
2025-05-14-13:40:18,215428,667,253554,88,0.9969,0.9996,0.9983,469737,22.803
2025-05-14-13:40:42,204229,615,231264,31,0.997,0.9998,0.9984,436139,22.983
2025-05-14-13:41:05,218766,666,238116,28,0.997,0.9999,0.9984,457576,22.982
2025-05-14-13:41:28,205399,892,252374,79,0.9957,0.9996,0.9976,458744,22.811
2025-05-14-13:41:51,213920,612,256385,51,0.9971,0.9998,0.9985,470968,22.985
2025-05-14-13:42:15,206989,697,247114,34,0.9966,0.9998,0.9982,454834,22.668
2025-05-14-13:42:38,222042,840,276527,54,0.9962,0.9998,0.998,499463,22.719
2025-05-14-13:43:01,199560,544,230098,48,0.9973,0.9998,0.9985,430250,22.856
2025-05-14-13:43:24,234674,683,270017,33,0.9971,0.9999,0.9985,505407,22.851
2025-05-14-13:43:47,210787,638,241794,47,0.997,0.9998,0.9984,453266,22.803
2025-05-14-13:44:11,221968,528,261863,31,0.9976,0.9999,0.9987,484390,22.781
2025-05-14-13:44:34,206526,595,239366,37,0.9971,0.9998,0.9985,446524,23.051
2025-05-14-13:44:57,208706,554,232027,50,0.9974,0.9998,0.9986,441337,23.105
2025-05-14-13:45:21,220460,781,260178,59,0.9965,0.9997,0.9981,481478,22.988
2025-05-14-13:45:44,217301,837,247967,39,0.9962,0.9998,0.998,466144,22.826
2025-05-14-13:46:07,214256,692,259471,75,0.9968,0.9997,0.9982,474494,22.823
2025-05-14-13:46:30,217597,684,271196,31,0.9969,0.9999,0.9984,489508,22.748
2025-05-14-13:46:54,231853,551,277431,33,0.9976,0.9999,0.9987,509868,22.827
2025-05-14-13:47:17,217558,595,263420,40,0.9973,0.9998,0.9985,481613,22.783
2025-05-14-13:47:40,214504,664,241868,36,0.9969,0.9998,0.9984,457072,22.784
2025-05-14-13:48:03,203250,559,239796,61,0.9973,0.9997,0.9985,443666,22.803
2025-05-14-13:48:26,218612,839,268555,61,0.9962,0.9997,0.9979,488067,22.763
2025-05-14-13:48:50,227844,593,247718,57,0.9974,0.9997,0.9986,476212,23.067
2025-05-14-13:49:13,219037,655,261072,35,0.997,0.9998,0.9984,480799,22.774
2025-05-14-13:49:36,204696,483,253580,20,0.9976,0.9999,0.9988,458779,23.034
2025-05-14-13:49:59,206390,586,258372,52,0.9972,0.9997,0.9985,465400,22.625
2025-05-14-13:50:23,217876,602,270992,44,0.9972,0.9998,0.9985,489514,22.963
2025-05-14-13:50:46,210902,594,257543,64,0.9972,0.9997,0.9984,469103,22.922
2025-05-14-13:51:10,210311,653,237592,44,0.9969,0.9998,0.9983,448600,23.072
2025-05-14-13:51:33,212631,550,248018,23,0.9974,0.9999,0.9987,461222,22.606
2025-05-14-13:51:56,205686,480,225809,35,0.9977,0.9998,0.9987,432010,22.961
2025-05-14-13:52:19,207216,690,260668,40,0.9967,0.9998,0.9982,468614,22.813
2025-05-14-13:52:42,214839,500,240665,35,0.9977,0.9998,0.9988,456039,22.827
2025-05-14-13:53:06,219858,503,286515,25,0.9977,0.9999,0.9988,506901,22.883
2025-05-14-13:53:29,224747,540,277141,64,0.9976,0.9997,0.9987,502492,22.913
2025-05-14-13:53:52,205411,393,250911,27,0.9981,0.9999,0.999,456742,22.751
2025-05-14-13:54:15,227375,639,286010,38,0.9972,0.9998,0.9985,514062,22.953
2025-05-14-13:54:39,227424,465,265439,43,0.998,0.9998,0.9989,493371,22.913
2025-05-14-13:55:02,211505,492,264460,49,0.9977,0.9998,0.9987,476506,23.025
2025-05-14-13:55:25,221501,620,264817,58,0.9972,0.9997,0.9985,486996,22.812
2025-05-14-13:55:49,210191,436,258619,36,0.9979,0.9998,0.9989,469282,22.804
2025-05-14-13:56:12,214017,497,261478,16,0.9977,0.9999,0.9988,476008,22.759
2025-05-14-13:56:35,207085,717,264669,53,0.9965,0.9997,0.9981,472524,22.811
2025-05-14-13:56:58,214510,480,261194,30,0.9978,0.9999,0.9988,476214,22.815
2025-05-14-13:57:22,217082,470,260065,29,0.9978,0.9999,0.9989,477646,22.931
2025-05-14-13:57:45,212112,577,268140,35,0.9973,0.9998,0.9986,480864,22.944
2025-05-14-13:58:08,219134,405,268159,31,0.9982,0.9999,0.999,487729,23.021
2025-05-14-13:58:31,205185,385,252029,36,0.9981,0.9998,0.999,457635,22.67
2025-05-14-13:58:55,224729,554,260950,44,0.9975,0.9998,0.9987,486277,22.992
2025-05-14-13:59:18,223498,370,283191,25,0.9983,0.9999,0.9991,507084,23.048
2025-05-14-13:59:41,212480,490,270304,41,0.9977,0.9998,0.9988,483315,22.835
2025-05-14-14:00:04,213352,514,270800,56,0.9976,0.9997,0.9987,484722,22.669
