date_time,true_positives,false_positives,true_negatives,false_negatives,precision,recall,f1,defined,duration
2025-05-11-21:56:02,174857,11275,31888284,2752,0.9394,0.9845,0.9614,32077168,22.732
2025-05-11-21:56:25,164874,13319,28108001,2228,0.9253,0.9867,0.955,28288422,22.998
2025-05-11-21:56:49,177207,7432,25025857,1622,0.9597,0.9909,0.9751,25212118,23.116
2025-05-11-21:57:12,186749,9685,28043895,2323,0.9507,0.9877,0.9689,28242652,22.839
2025-05-11-21:57:35,175329,14289,29553364,3160,0.9246,0.9823,0.9526,29746142,22.942
2025-05-11-21:57:59,168862,14615,30482260,3089,0.9203,0.982,0.9502,30668826,23.043
2025-05-11-21:58:22,171659,9846,27304223,2580,0.9458,0.9852,0.9651,27488308,22.931
2025-05-11-21:58:46,197351,8676,26346979,2684,0.9579,0.9866,0.972,26555690,23.061
2025-05-11-21:59:09,178090,12658,29796053,3426,0.9336,0.9811,0.9568,29990227,23.032
2025-05-11-21:59:32,182749,10361,25931437,2305,0.9463,0.9875,0.9665,26126852,22.954
2025-05-11-21:59:56,189593,11081,28765383,2190,0.9448,0.9886,0.9662,28968247,22.974
2025-05-11-22:00:19,183269,8827,27698122,1968,0.954,0.9894,0.9714,27892186,23.165
2025-05-11-22:00:43,165507,7590,32878188,1784,0.9562,0.9893,0.9725,33053069,23.048
2025-05-11-22:01:06,191198,7673,30452115,1471,0.9614,0.9924,0.9766,30652457,23.192
2025-05-11-22:01:30,175776,8019,30872776,2095,0.9564,0.9882,0.972,31058666,23.317
2025-05-11-22:01:54,185536,10234,30186901,2097,0.9477,0.9888,0.9678,30384768,23.184
2025-05-11-22:02:17,189073,10429,27190487,3273,0.9477,0.983,0.965,27393262,23.097
2025-05-11-22:02:41,179200,8368,26511727,1546,0.9554,0.9914,0.9731,26700841,23.134
2025-05-11-22:03:04,169357,6255,31813652,1783,0.9644,0.9896,0.9768,31991047,23.028
2025-05-11-22:03:28,180749,8083,30691214,1945,0.9572,0.9894,0.973,30881991,22.927
2025-05-11-22:03:51,193806,7062,27555756,1985,0.9648,0.9899,0.9772,27758609,23.025
2025-05-11-22:04:14,208565,9960,30718539,2044,0.9544,0.9903,0.972,30939108,22.948
