file_name,accuracy,tn,fp,fn,tp,precision,recall,f1,annot_fg,annot_bg,area_true,area_pred,area_error,seg_time,model_name,annot_duration_s,clicks
T19982 PlugSetting_03JUL10_003.jpg,0.9963911525029103,726631,2000,635,884,0.3065187239944521,0.5819618169848585,0.4015444015444016,1407,66569,1519,2884,1365,1747410151.0,000054_1747409655.pkl,252.77528977394104,63
|1930340 Dual Prop, Resistivity, Density, Gamma Ray Log Scan_001.jpg|,0.996633209182922,415895,1127,313,10372,0.9019914775197844,0.970706598034628,0.9350883519653805,405,46133,10685,11499,814,1747410428.0,000054_1747409655.pkl,0,0
SCU 31-04 PB1 TC TVD_000.jpg,0.9901661153458938,650996,3902,2662,9928,0.7178597252349964,0.7885623510722796,0.751551854655564,3153,21792,12590,13830,1240,1747410989.0,000054_1747409655.pkl,520.3647797107697,98
|1930430 Dual Prop, Resistivity, Gamma Ray Log Scan_000.jpg|,1.0,422461,0,0,5246,1.0,1.0,1.0,0,0,5246,5246,0,1747414900.0,000062_1747414633.pkl,0,0
1860310 Gamma Ray Log Scan 3_002.jpg,0.99523962073236,502638,59,2378,6859,0.9914715235617231,0.7425571072859153,0.8491488703187867,2627,111,9237,6918,-2319,1747414912.0,000062_1747414633.pkl,677.9065618515015,147
1640150 ITKILLIK UNIT 1 TEMP LOG_001.jpg,1.0,442890,0,0,0,nan,nan,nan,0,0,0,0,0,1747477454.0,000065_1747476517.pkl,14.235256433486938,0
|1910880 Resistivity, Gamma, Directional Survey Log Scan_000.jpg|,0.9950188201357864,420598,1958,166,3683,0.6528984222655557,0.9568719147830606,0.7761854583772392,183,17029,3849,5641,1792,1747477470.0,000065_1747476517.pkl,0,0
|1920950 Dual Prop, Resistivity, Gamma Ray Log Scan_002.jpg|,0.9948505258182677,406903,0,2179,14068,1.0,0.8658829322336431,0.9281213920501401,2523,0,16247,14068,-2179,1747478235.0,000065_1747476517.pkl,0,0
|1920200 Dual Prop, Resistivity, Gamma, Directional Log Scan_003.jpg|,0.9990096030524093,659308,92,586,24588,0.9962722852512156,0.976722014777151,0.9864002888434229,753,154,25174,24680,-494,1747478637.0,000065_1747476517.pkl,0,0
CD3-130 PB2  EcoScope 2MD Recorded Mode Log_002.jpg,0.9958318690080755,764177,458,2851,26395,0.9829441775593044,0.9025165834644054,0.9410149913545696,3260,2825,29246,26853,-2393,1747478905.0,000065_1747476517.pkl,1051.3988745212555,189
MPU_B-19A_JEWELRY_26FEB24_img_004.jpg,1.0,722994,0,0,3756,1.0,1.0,1.0,0,0,3756,3756,0,1747480072.0,000065_1747476517.pkl,10.548861265182495,0
|1930430 Dual Prop, Resistivity, Gamma Ray Log Scan_004.jpg|,1.0,423348,0,0,4359,1.0,1.0,1.0,0,0,4359,4359,0,1747480082.0,000065_1747476517.pkl,0,0
1920280_M-26A_Density-Neutron Log Scan_Color_004.jpg,1.0,388431,0,0,15417,1.0,1.0,1.0,0,0,15417,15417,0,1747480092.0,000065_1747476517.pkl,0,0
|1920370 Dual Prop, Resistivity, Gamma Ray Log Scan_004.jpg|,0.9980368979591837,755664,399,1104,8458,0.9549508863046178,0.8845429826396152,0.918399478799066,1444,5479,9562,8857,-705,1747480440.0,000065_1747476517.pkl,0,0
|1920950 Dual Prop, Resistivity, Gamma Ray Log Scan_004.jpg|,0.9921824412146992,419482,1410,1898,360,0.2033898305084746,0.15943312666076173,0.1787487586891758,2064,20454,2258,1770,-488,1747480661.0,000065_1747476517.pkl,0,0
|1920370 Dual Prop, Resistivity, Gamma Ray Log Scan_001.jpg|,0.9918994285714285,743280,442,5760,16143,0.973349412119385,0.737022325708807,0.8388588651008106,6981,1264,21903,16585,-5318,1747480917.0,000065_1747476517.pkl,0,0
|1921440 Dual Prop, Resistivity, Gamma Ray Log Scan_002.jpg|,1.0,414523,0,0,6674,1.0,1.0,1.0,0,0,6674,6674,0,1747481719.0,000065_1747476517.pkl,0,0
1920280_M-26A_Density-Neutron Log Scan_Color_001.jpg,0.9932028882153682,390309,2196,549,10794,0.8309468822170901,0.9516001057921185,0.887190235482678,628,28100,11343,12990,1647,1747647136.0,000065_1747476517.pkl,700.8000428676605,135
CD3-130 PB2  EcoScope 2MD Recorded Mode Log_003.jpg,1.0,783180,0,0,10701,1.0,1.0,1.0,0,0,10701,10701,0,1747647837.0,000065_1747476517.pkl,0,0
1860310 Gamma Ray Log Scan 3_000.jpg,1.0,511021,0,0,913,1.0,1.0,1.0,0,0,913,913,0,1747647858.0,000065_1747476517.pkl,7.519675970077515,0
1920280_M-26A_Density Log Scan_Color_003.jpg,1.0,467749,0,0,33479,1.0,1.0,1.0,0,0,33479,33479,0,1747647866.0,000065_1747476517.pkl,7.670749664306641,0
1900740 Resistivity-Gamma-Directional Survey Scan_000.jpg,0.9970887505059184,420444,0,1230,825,1.0,0.40145985401459855,0.5729166666666666,1374,0,2055,825,-1230,1747647874.0,000065_1747476517.pkl,617.8895418643951,125
1801120 Gamma Ray Plot Scan_001.jpg,0.9994047192139425,557380,109,223,8,0.06837606837606838,0.03463203463203463,0.04597701149425288,223,1103,231,117,-114,1747648545.0,000065_1747476517.pkl,117.85165810585022,12
1900740 Resistivity-Gamma-Directional Survey Scan_001.jpg,0.9989325418521701,408514,282,169,13534,0.9795888824551245,0.9876669342479749,0.9836113230858679,217,513,13703,13816,113,1747648663.0,000065_1747476517.pkl,439.9566261768341,70
